Takt/Zug|Zugnummer|Zugname|Zugtyp|Aktiv|Gruppenbearbeitung|Besteller|Betreiber|Traktionist|Klasse|Zugcharakteristik|Start (Kürzel)|Start|Ziel (Kürzel)|Ziel|Abfahrt|Plan-Ankunft|Real-Ankunft|Von Zug|Auf Zug|Baubetriebsstatus|Statusbezeichnung|VT|Gültig von|Gültig bis|Berechnet|Simulation|Gefiltert|Fehler
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190352|190352|190352|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|09:36:13|09:43:21|09:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190354|190354|190354|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|11:36:13|11:43:21|11:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190356|190356|190356|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|13:36:13|13:43:21|13:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190358|190358|190358|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|15:36:13|15:43:21|15:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190360|190360|190360|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|17:36:13|17:43:21|17:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190362|190362|190362|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|19:36:13|19:43:21|19:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190364|190364|190364|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|21:36:13|21:43:21|21:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190366|190366|190366|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|23:36:13|23:43:21|23:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\hin\RE Diesel 190368|190368|190368|R|aktiv|N||||NRz|RE - diesel/RE Diesel|FSP S|Ffm Stadion Süd|FF|Frankfurt(M) Hbf|25:36:13|25:43:21|25:43:41|||Verkehrt|abgestimmt und konfliktfrei|Tgl.|1900-01-01|2099-12-31||||
\EXPRESS-D\E03 Saarbrücken Hbf - Mainz Hbf, Frankfurt (Main) Hbf\Takt 2 (Saarbrücken - Frankfurt)\rück|||||N|||||||||||||||||||||||
